t,x
0.5362698660,0.0253367345
0.5372123438,0.0254692660
0.5381548216,0.0256022520
0.5390972994,0.0257356933
0.5400397772,0.0258695907
0.5409822549,0.0260039447
0.5419247327,0.0261387562
0.5428672105,0.0262740258
0.5438096883,0.0264097543
0.5447521661,0.0265459424
0.5456946439,0.0266825908
0.5466371217,0.0268197002
0.5475795995,0.0269572713
0.5485220773,0.0270953049
0.5494645551,0.0272338017
0.5504070329,0.0273727623
0.5513495107,0.0275121875
0.5522919885,0.0276520781
0.5532344663,0.0277924346
0.5541769441,0.0279332579
0.5551194219,0.0280745486
0.5560618997,0.0282163075
0.5570043775,0.0283585353
0.5579468553,0.0285012326
0.5588893331,0.0286444002
0.5598318109,0.0287880388
0.5607742887,0.0289321491
0.5617167665,0.0290767319
0.5626592443,0.0292217877
0.5636017221,0.0293673174
0.5645441999,0.0295133217
0.5654866776,0.0296598011
0.5664291554,0.0298067566
0.5673716332,0.0299541887
0.5683141110,0.0301020982
0.5692565888,0.0302504857
0.5701990666,0.0303993520
0.5711415444,0.0305486978
0.5720840222,0.0306985238
0.5730265000,0.0308488307
0.5739689778,0.0309996192
0.5749114556,0.0311508900
0.5758539334,0.0313026438
0.5767964112,0.0314548813
0.5777388890,0.0316076032
0.5786813668,0.0317608102
0.5796238446,0.0319145031
0.5805663224,0.0320686824
0.5815088002,0.0322233489
0.5824512780,0.0323785034
0.5833937558,0.0325341465
0.5843362336,0.0326902789
0.5852787114,0.0328469012
0.5862211892,0.0330040143
0.5871636670,0.0331616188
0.5881061448,0.0333197154
0.5890486225,0.0334783048
0.5899911003,0.0336373877
0.5909335781,0.0337969648
0.5918760559,0.0339570367
0.5928185337,0.0341176043
0.5937610115,0.0342786681
0.5947034893,0.0344402288
0.5956459671,0.0346022873
0.5965884449,0.0347648441
0.5975309227,0.0349278999
0.5984734005,0.0350914555
0.5994158783,0.0352555115
0.6003583561,0.0354200687
0.6013008339,0.0355851276
0.6022433117,0.0357506891
0.6031857895,0.0359167537
0.6041282673,0.0360833223
0.6050707451,0.0362503954
0.6060132229,0.0364179737
0.6069557007,0.0365860581
0.6078981785,0.0367546490
0.6088406563,0.0369237473
0.6097831341,0.0370933536
0.6107256119,0.0372634686
0.6116680897,0.0374340930
0.6126105675,0.0376052275
0.6135530452,0.0377768727
0.6144955230,0.0379490294
0.6154380008,0.0381216982
0.6163804786,0.0382948798
0.6173229564,0.0384685748
0.6182654342,0.0386427841
0.6192079120,0.0388175082
0.6201503898,0.0389927479
0.6210928676,0.0391685038
0.6220353454,0.0393447766
0.6229778232,0.0395215669
0.6239203010,0.0396988756
0.6248627788,0.0398767031
0.6258052566,0.0400550503
0.6267477344,0.0402339178
0.6276902122,0.0404133063
0.6286326900,0.0405932165
0.6295751678,0.0407736489
0.6305176456,0.0409546044
0.6314601234,0.0411360836
0.6324026012,0.0413180871
0.6333450790,0.0415006157
0.6342875568,0.0416836700
0.6352300346,0.0418672506
0.6361725124,0.0420513584
0.6371149901,0.0422359939
0.6380574679,0.0424211577
0.6389999457,0.0426068507
0.6399424235,0.0427930734
0.6408849013,0.0429798266
0.6418273791,0.0431671108
0.6427698569,0.0433549268
0.6437123347,0.0435432753
0.6446548125,0.0437321569
0.6455972903,0.0439215722
0.6465397681,0.0441115220
0.6474822459,0.0443020069
0.6484247237,0.0444930276
0.6493672015,0.0446845847
0.6503096793,0.0448766790
0.6512521571,0.0450693110
0.6521946349,0.0452624815
0.6531371127,0.0454561911
0.6540795905,0.0456504405
0.6550220683,0.0458452303
0.6559645461,0.0460405613
0.6569070239,0.0462364340
0.6578495017,0.0464328491
0.6587919795,0.0466298074
0.6597344573,0.0468273094
0.6606769350,0.0470253558
0.6616194128,0.0472239474
0.6625618906,0.0474230846
0.6635043684,0.0476227683
0.6644468462,0.0478229990
0.6653893240,0.0480237775
0.6663318018,0.0482251044
0.6672742796,0.0484269802
0.6682167574,0.0486294058
0.6691592352,0.0488323818
0.6701017130,0.0490359088
0.6710441908,0.0492399874
0.6719866686,0.0494446183
0.6729291464,0.0496498023
0.6738716242,0.0498555399
0.6748141020,0.0500618317
0.6757565798,0.0502686785
0.6766990576,0.0504760810
0.6776415354,0.0506840396
0.6785840132,0.0508925552
0.6795264910,0.0511016283
0.6804689688,0.0513112596
0.6814114466,0.0515214498
0.6823539244,0.0517321995
0.6832964022,0.0519435094
0.6842388800,0.0521553801
0.6851813577,0.0523678122
0.6861238355,0.0525808064
0.6870663133,0.0527943634
0.6880087911,0.0530084838
0.6889512689,0.0532231682
0.6898937467,0.0534384173
0.6908362245,0.0536542318
0.6917787023,0.0538706123
0.6927211801,0.0540875593
0.6936636579,0.0543050737
0.6946061357,0.0545231560
0.6955486135,0.0547418068
0.6964910913,0.0549610269
0.6974335691,0.0551808168
0.6983760469,0.0554011771
0.6993185247,0.0556221087
0.7002610025,0.0558436119
0.7012034803,0.0560656876
0.7021459581,0.0562883364
0.7030884359,0.0565115588
0.7040309137,0.0567353556
0.7049733915,0.0569597274
0.7059158693,0.0571846747
0.7068583471,0.0574101983
0.7078008249,0.0576362988
0.7087433026,0.0578629768
0.7096857804,0.0580902330
0.7106282582,0.0583180679
0.7115707360,0.0585464823
0.7125132138,0.0587754767
0.7134556916,0.0590050518
0.7143981694,0.0592352083
0.7153406472,0.0594659467
0.7162831250,0.0596972676
0.7172256028,0.0599291719
0.7181680806,0.0601616599
0.7191105584,0.0603947325
0.7200530362,0.0606283901
0.7209955140,0.0608626335
0.7219379918,0.0610974633
0.7228804696,0.0613328801
0.7238229474,0.0615688845
0.7247654252,0.0618054772
0.7257079030,0.0620426587
0.7266503808,0.0622804298
0.7275928586,0.0625187910
0.7285353364,0.0627577429
0.7294778142,0.0629972862
0.7304202920,0.0632374216
0.7313627698,0.0634781496
0.7323052476,0.0637194708
0.7332477253,0.0639613860
